DATE,LTDACBW027SBOG
2011-03-09,1733.1575
2011-03-16,1727.9245
2011-03-23,1726.4303
2011-03-30,1727.3722
2011-04-06,1743.4357
2011-04-13,1753.7726
2011-04-20,1742.0557
2011-04-27,1753.6666
2011-05-04,1784.1554
2011-05-11,1790.8116
2011-05-18,1784.7449
2011-05-25,1789.2981
2011-06-01,1773.7433
2011-06-08,1747.7298
2011-06-15,1739.4317
2011-06-22,1732.6254
2011-06-29,1705.9436
2011-07-06,1678.992
2011-07-13,1678.9904
2011-07-20,1659.0328
2011-07-27,1641.4984
2011-08-03,1586.6466
2011-08-10,1570.6983
2011-08-17,1552.2449
2011-08-24,1538.0916
2011-08-31,1547.8197
2011-09-07,1544.0513
2011-09-14,1552.2666
2011-09-21,1555.251
2011-09-28,1563.3879
2011-10-05,1535.3716
2011-10-12,1529.7779
2011-10-19,1527.0756
2011-10-26,1521.694
2011-11-02,1532.3581
2011-11-09,1515.4485
2011-11-16,1506.6417
2011-11-23,1497.0361
2011-11-30,1512.4815
2011-12-07,1504.1097
2011-12-14,1491.5116
2011-12-21,1485.6795
2011-12-28,1498.7488
2012-01-04,1489.2596
2012-01-11,1487.3156
2012-01-18,1477.9899
2012-01-25,1477.4457
2012-02-01,1474.0735
2012-02-08,1479.6033
2012-02-15,1470.8519
2012-02-22,1474.5201
2012-02-29,1462.3441
2012-03-07,1466.7166
2012-03-14,1465.9737
2012-03-21,1466.5805
2012-03-28,1471.9778
2012-04-04,1472.7702
2012-04-11,1468.2772
2012-04-18,1471.1397
2012-04-25,1469.5546
2012-05-02,1468.8404
2012-05-09,1463.5268
2012-05-16,1455.3398
2012-05-23,1449.4979
2012-05-30,1457.1491
2012-06-06,1471.1322
2012-06-13,1462.4337
2012-06-20,1457.3022
2012-06-27,1471.3838
2012-07-04,1477.3223
2012-07-11,1478.636
2012-07-18,1484.9705
2012-07-25,1487.2317
2012-08-01,1487.2983
2012-08-08,1497.7625
2012-08-15,1497.2661
2012-08-22,1500.7876
2012-08-29,1503.0483
2012-09-05,1501.6763
2012-09-12,1504.7359
2012-09-19,1486.2631
2012-09-26,1502.3479
2012-10-03,1497.6016
2012-10-10,1496.9474
2012-10-17,1498.6478
2012-10-24,1491.6949
2012-10-31,1474.9171
2012-11-07,1483.7054
2012-11-14,1484.8735
2012-11-21,1493.831
2012-11-28,1497.4775
2012-12-05,1502.7146
2012-12-12,1510.3889
2012-12-19,1527.0007
2012-12-26,1528.5696
2013-01-02,1539.9565
2013-01-09,1520.0531
2013-01-16,1531.7396
2013-01-23,1531.3371
2013-01-30,1536.5946
2013-02-06,1540.4353
2013-02-13,1538.932
2013-02-20,1529.2757
2013-02-27,1542.6465
2013-03-06,1525.929
2013-03-13,1523.2102
2013-03-20,1527.7759
2013-03-27,1546.8213
2013-04-03,1524.4689
2013-04-10,1515.5354
2013-04-17,1501.6012
2013-04-24,1516.3804
2013-05-01,1510.9711
2013-05-08,1506.9012
2013-05-15,1515.2139
2013-05-22,1530.9096
2013-05-29,1529.2061
2013-06-05,1539.5853
2013-06-12,1546.3917
2013-06-19,1541.416
2013-06-26,1538.0716
2013-07-03,1553.8548
2013-07-10,1552.2032
2013-07-17,1557.4235
2013-07-24,1557.1498
2013-07-31,1558.1165
2013-08-07,1548.3621
2013-08-14,1553.0701
2013-08-21,1553.279
2013-08-28,1572.0349
2013-09-04,1574.0097
2013-09-11,1592.4233
2013-09-18,1593.2848
2013-09-25,1593.9143
2013-10-02,1591.5714
2013-10-09,1578.958
2013-10-16,1530.2171
2013-10-23,1557.1876
2013-10-30,1577.4207
2013-11-06,1580.483
2013-11-13,1586.0121
2013-11-20,1599.3989
2013-11-27,1595.3065
2013-12-04,1589.5026
2013-12-11,1599.8885
2013-12-18,1608.631
2013-12-25,1604.6442
2014-01-01,1606.3261
2014-01-08,1616.6672
2014-01-15,1625.932
2014-01-22,1621.4029
2014-01-29,1637.5052
2014-02-05,1620.7192
2014-02-12,1629.6043
2014-02-19,1624.8832
2014-02-26,1634.3044
2014-03-05,1630.1229
2014-03-12,1645.5809
2014-03-19,1648.3273
2014-03-26,1639.6445
2014-04-02,1654.3361
2014-04-09,1667.0801
2014-04-16,1680.0228
2014-04-23,1669.7431
2014-04-30,1679.7866
2014-05-07,1674.7503
2014-05-14,1677.02
2014-05-21,1681.0832
2014-05-28,1679.1698
2014-06-04,1659.8444
2014-06-11,1653.855
2014-06-18,1658.7577
2014-06-25,1651.8973
2014-07-02,1664.6241
2014-07-09,1667.8531
2014-07-16,1666.4964
2014-07-23,1647.3274
2014-07-30,1654.7909
2014-08-06,1641.5749
2014-08-13,1637.0278
2014-08-20,1648.3113
2014-08-27,1668.1855
2014-09-03,1648.2145
2014-09-10,1646.4958
2014-09-17,1657.4163
2014-09-24,1664.5875
2014-10-01,1645.2044
2014-10-08,1649.5943
2014-10-15,1639.915
2014-10-22,1642.383
2014-10-29,1647.9965
2014-11-05,1664.2654
2014-11-12,1680.6135
2014-11-19,1704.5074
2014-11-26,1713.2186
2014-12-03,1702.3484
2014-12-10,1708.3705
2014-12-17,1702.5404
2014-12-24,1700.0865
2014-12-31,1712.9526
2015-01-07,1710.0199
2015-01-14,1695.7496
2015-01-21,1699.9819
2015-01-28,1708.8268
2015-02-04,1703.3082
2015-02-11,1707.4922
2015-02-18,1713.3369
2015-02-25,1719.2595
2015-03-04,1713.6181
2015-03-11,1714.4969
2015-03-18,1710.3775
2015-03-25,1708.2319
2015-04-01,1697.2017
2015-04-08,1699.2665
2015-04-15,1679.7389
2015-04-22,1689.3117
2015-04-29,1690.1927
2015-05-06,1688.8805
2015-05-13,1682.9847
2015-05-20,1690.19
2015-05-27,1687.1739
2015-06-03,1694.8284
2015-06-10,1693.6635
2015-06-17,1688.3066
2015-06-24,1698.0733
2015-07-01,1682.6857
2015-07-08,1687.2244
2015-07-15,1688.731
2015-07-22,1708.7278
2015-07-29,1708.2134
2015-08-05,1706.1171
2015-08-12,1711.3419
2015-08-19,1708.9738
2015-08-26,1706.8167
2015-09-02,1713.3183
2015-09-09,1709.1031
2015-09-16,1680.2782
2015-09-23,1697.0629
2015-09-30,1697.409
2015-10-07,1723.5806
2015-10-14,1735.5886
2015-10-21,1731.6094
2015-10-28,1703.8903
2015-11-04,1710.9972
2015-11-11,1692.4602
2015-11-18,1698.9523
2015-11-25,1699.3065
2015-12-02,1694.5388
2015-12-09,1676.2667
2015-12-16,1657.809
2015-12-23,1663.1866
2015-12-30,1652.7028
2016-01-06,1658.879
2016-01-13,1661.5226
2016-01-20,1662.4289
2016-01-27,1657.366
2016-02-03,1669.7994
2016-02-10,1670.3206
2016-02-17,1676.6879
2016-02-24,1678.5774
2016-03-02,1690.1397
2016-03-09,1696.5657
2016-03-16,1664.6388
2016-03-23,1671.6037
2016-03-30,1657.7302
2016-04-06,1656.3692
2016-04-13,1650.828
2016-04-20,1643.789
2016-04-27,1625.9268
2016-05-04,1641.9544
2016-05-11,1639.6076
2016-05-18,1638.0725
2016-05-25,1639.1241
2016-06-01,1645.1423
2016-06-08,1651.0829
2016-06-15,1664.6671
2016-06-22,1645.7963
2016-06-29,1629.4704
2016-07-06,1631.9891
2016-07-13,1615.4802
2016-07-20,1608.0388
2016-07-27,1590.0408
2016-08-03,1605.5449
2016-08-10,1591.2675
2016-08-17,1594.4061
2016-08-24,1579.2803
2016-08-31,1572.745
2016-09-07,1549.2788
2016-09-14,1537.9692
2016-09-21,1530.7572
2016-09-28,1523.7527
2016-10-05,1499.7317
2016-10-12,1494.4287
2016-10-19,1510.9197
2016-10-26,1520.0836
2016-11-02,1517.4454
2016-11-09,1518.8652
2016-11-16,1509.9921
2016-11-23,1502.8519
2016-11-30,1508.7544
2016-12-07,1511.1083
2016-12-14,1509.4653
2016-12-21,1518.5136
2016-12-28,1512.3141
2017-01-04,1521.3649
2017-01-11,1514.366
2017-01-18,1529.7139
2017-01-25,1521.4603
2017-02-01,1523.6317
2017-02-08,1525.3501
2017-02-15,1524.3246
2017-02-22,1515.8023
2017-03-01,1520.1918
2017-03-08,1520.6496
2017-03-15,1521.2226
2017-03-22,1550.8508
2017-03-29,1554.5941
2017-04-05,1549.4703
2017-04-12,1552.8883
2017-04-19,1552.0826
2017-04-26,1556.0396
2017-05-03,1552.5961
2017-05-10,1558.2107
2017-05-17,1561.1215
2017-05-24,1575.1224
2017-05-31,1571.4978
2017-06-07,1574.3813
2017-06-14,1558.2069
2017-06-21,1572.3368
2017-06-28,1576.3752
2017-07-05,1570.8475
2017-07-12,1573.9268
2017-07-19,1578.9361
2017-07-26,1580.2496
2017-08-02,1587.106
2017-08-09,1600.2196
2017-08-16,1599.9243
2017-08-23,1597.4996
2017-08-30,1607.9001
2017-09-06,1618.2174
2017-09-13,1628.6081
2017-09-20,1629.4826
2017-09-27,1626.4362
2017-10-04,1615.4522
2017-10-11,1624.8582
2017-10-18,1625.6316
2017-10-25,1621.2408
2017-11-01,1626.4296
2017-11-08,1629.2839
2017-11-15,1635.0648
2017-11-22,1625.8079
2017-11-29,1619.4801
2017-12-06,1622.8242
2017-12-13,1614.0959
2017-12-20,1614.7179
2017-12-27,1595.7147
2018-01-03,1605.6749
2018-01-10,1612.2931
2018-01-17,1614.7135
2018-01-24,1612.083
2018-01-31,1615.6736
2018-02-07,1606.0111
2018-02-14,1593.7891
2018-02-21,1585.2803
2018-02-28,1590.2514
2018-03-07,1577.0086
2018-03-14,1587.2735
2018-03-21,1578.4605
2018-03-28,1582.9496
2018-04-04,1576.1222
2018-04-11,1595.1278
2018-04-18,1606.5233
2018-04-25,1607.2386
2018-05-02,1588.5002
2018-05-09,1588.1032
2018-05-16,1593.2375
2018-05-23,1605.2509
2018-05-30,1615.3734
2018-06-06,1608.8786
2018-06-13,1614.4621
2018-06-20,1619.8865
2018-06-27,1633.7292
2018-07-04,1644.6223
2018-07-11,1636.1633
2018-07-18,1637.0365
2018-07-25,1635.1977
2018-08-01,1639.6647
2018-08-08,1625.1729
2018-08-15,1630.7336
2018-08-22,1629.3267
2018-08-29,1642.0109
2018-09-05,1647.1785
2018-09-12,1669.3989
2018-09-19,1669.8455
2018-09-26,1678.3383
2018-10-03,1696.5724
2018-10-10,1701.0526
2018-10-17,1701.4411
2018-10-24,1696.5549
2018-10-31,1703.004
2018-11-07,1697.0194
2018-11-14,1682.6415
2018-11-21,1686.3433
2018-11-28,1681.8635
2018-12-05,1695.6826
2018-12-12,1693.9698
2018-12-19,1693.7747
2018-12-26,1708.8657
2019-01-02,1700.8068
2019-01-09,1715.5399
2019-01-16,1722.1071
2019-01-23,1730.8283
2019-01-30,1732.0711
2019-02-06,1734.2409
2019-02-13,1744.6526
2019-02-20,1752.9172
2019-02-27,1754.2713
2019-03-06,1765.4632
2019-03-13,1771.3823
2019-03-20,1787.6324
2019-03-27,1788.6621
2019-04-03,1791.7929
2019-04-10,1797.8167
2019-04-17,1793.6998
2019-04-24,1780.7983
2019-05-01,1800.8398
2019-05-08,1803.7156
2019-05-15,1800.6857
2019-05-22,1760.6701
2019-05-29,1756.3103
2019-06-05,1761.1947
2019-06-12,1767.3781
2019-06-19,1769.8066
2019-06-26,1777.3337
2019-07-03,1778.7267
2019-07-10,1779.568
2019-07-17,1784.8148
2019-07-24,1772.9229
2019-07-31,1774.0158
2019-08-07,1781.1638
2019-08-14,1784.5228
2019-08-21,1798.7512
2019-08-28,1815.7478
2019-09-04,1816.2744
2019-09-11,1819.5775
2019-09-18,1819.0224
2019-09-25,1816.9659
2019-10-02,1835.3451
2019-10-09,1845.1974
2019-10-16,1838.5088
2019-10-23,1844.1962
2019-10-30,1843.8444
2019-11-06,1848.3023
2019-11-13,1855.3945
2019-11-20,1856.6705
2019-11-27,1878.91
2019-12-04,1866.8205
2019-12-11,1869.8785
2019-12-18,1869.9764
2019-12-25,1863.9387
2020-01-01,1870.9361
2020-01-08,1859.4654
2020-01-15,1853.9405
2020-01-22,1846.9968
2020-01-29,1847.2595
2020-02-05,1843.0133
2020-02-12,1849.3289
2020-02-19,1844.9649
2020-02-26,1838.6078
2020-03-04,1818.0093
2020-03-11,1814.4205
2020-03-18,1788.6831
2020-03-25,1764.0782
2020-04-01,1787.3854
2020-04-08,1777.6769
2020-04-15,1782.8973
2020-04-22,1797.2728
2020-04-29,1794.6642
2020-05-06,1779.2367
2020-05-13,1773.96
2020-05-20,1766.0367
2020-05-27,1760.6509
2020-06-03,1746.164
2020-06-10,1739.6594
2020-06-17,1737.3417
2020-06-24,1734.1169
2020-07-01,1714.4277
2020-07-08,1714.8496
2020-07-15,1704.3483
2020-07-22,1714.9854
2020-07-29,1706.1703
2020-08-05,1699.2429
2020-08-12,1690.1454
2020-08-19,1683.3993
2020-08-26,1644.1591
2020-09-02,1636.2983
2020-09-09,1629.8568
2020-09-16,1625.6154
2020-09-23,1621.488
2020-09-30,1599.5649
2020-10-07,1590.8044
2020-10-14,1592.6124
2020-10-21,1585.7898
2020-10-28,1575.0816
2020-11-04,1561.5531
2020-11-11,1565.5378
2020-11-18,1554.5602
2020-11-25,1552.0134
2020-12-02,1540.3703
2020-12-09,1542.994
2020-12-16,1532.498
2020-12-23,1519.9932
2020-12-30,1506.7546
2021-01-06,1492.9362
2021-01-13,1493.9762
2021-01-20,1493.3708
2021-01-27,1503.7938
2021-02-03,1490.2403
2021-02-10,1485.9235
2021-02-17,1482.9293
2021-02-24,1484.837
2021-03-03,1477.6515
